id,smiles,KRAS_G12D_SPR_KD,KRAS_G12D_binding_IC50,pERK_IC50
160,CN1[C@H](COc(nc(c2cnc3-c4cc(O)cc5ccccc45)N(CC(CC4)N5)CC45Cl)nc2c3F)CCC1,0.3,120.3,6930.7
161,CC(C)(CCc1ccc2)c1c2-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@H]2N(C)CCC2)c1F,403.2,273.2,16666.7
162,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(C4(CC4)CC4)c4ccc3)c3F)c3n2)CCC1,554.6,677.3,16666.7
163,O=C(CCl)N(CC1)CCC1Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,5552.5,16666.7
164,O=C(c(cc1)ccc1S(F)(=O)=O)NCCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,4046,16666.7
165,CN(C1)[C@H](CCOc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C[C@H]1NC(c(cc1)ccc1S(F)(=O)=O)=O,,97.8,11068.5
166,O[C@H](C1)[C@@H](C2)N[C@H]1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OCCc2nccn2C(F)F)n1,,1286.1,
167,Cc1nccn1CCOc1nc(N2C[C@H]([C@@H](C3)O)N[C@H]3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,226.2,16142.4
168,O[C@H](C1)[C@@H](C2)N[C@H]1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OCCn2c(CF)ncc2)n1,,583,16666.7
169,O[C@H](C1)[C@@H](C2)N[C@H]1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OCCn2c(C(F)(F)F)ncc2)n1,,656.9,
170,O[C@H](C1)[C@@H](C2)N[C@H]1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OCCc2nccn2CF)n1,,841.7,
171,OCc1nccn1CCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,757.4,
172,O[C@H](C1)[C@@H](C2)N[C@H]1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OCCn2c(C(F)F)ncc2)n1,,,
173,Cn1c(CCOc2nc(N3C[C@H]([C@@H](C4)O)N[C@H]4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)ncc1,116.7,99.2,10504.3
174,CC(CCc1ccc2)c1c2-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@H]2N(C)CCC2)c1F,186.1,63.9,12816.8
175,Cc1cc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c2c(Cl)cccc2c1,,63.8,5555.6
176,NC(NCCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1)=N,,235.1,
177,NC(NCCCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1)=N,,187.1,
178,Nc1nccn1CCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,105,16666.7
179,C#Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,0.1,1.1,71.2
180,Fc(c1n2)c(-c3cccc4cccc(-c5cnn[nH]5)c34)ncc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCC1,,76.1,16666.7
181,Oc1cc2ccccc2c(-c(ncc2c(N3CC(CC4)NC4C3)ncnc22)c2F)c1,,572.5,12839.1
182,Nc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1.OC=O,,269.1,13549.2
183,CNc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,,393.3,5252.5
184,CN(C)c1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,,1990.6,
185,C#Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cc(O)cc2ccc1,,0.3,7.1
186,Fc(c1n2)c(-c3cccc4ccccc34)ncc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCC1,,29.2,3383.1
187,CCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,1.7,450.1
188,C#Cc1c2c(-c(ncc3c(N4CC(CC5)NC5C4)ncnc33)c3F)cccc2ccc1,,1919.7,
189,C#Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1F,,0.5,24.1
190,Cc(c(-c1cc(O)cc2ccccc12)ncc1c(N2CC(CC3)NC3C2)n2)c1nc2OC[C@H]1N(C)CCC1,76.1,64.1,16314.3
191,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3Cl)c3n2)CCC1,,69.1,5047
192,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cccc4cccc(C#N)c34)c3F)c3n2)CCC1,,224.9,
193,OCC#Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,12.5,8517.9
194,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cccc4cccc(C#CCO)c34)c3F)c3n2)CCC1,,150.8,
195,CC#Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,20.7,2461.5
196,FC(Oc1ccc2)(Oc1c2-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F)F,,467,
197,FC(c1cccc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c1C(F)(F)F)(F)F,,99.9,16666.7
198,N#Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,20.3,2425.5
199,CSc1cccc2cccc(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)c12,,2,464.8
200,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCOC1,,229.7,
201,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cccc4cccc(C=C)c34)c3F)c3n2)CCC1,,70.2,13915.2
202,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C[C@H]1OCCOC,,94,10186.8
203,F[C@@H]1CN(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4cnc3)c3F)c3n2)C1,,28.1,2183.2
204,C#Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@@](CCC4)(C5)N4C[C@H]5F)c3F)cncc2ccc1,,4.4,306.7
205,C#Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@@](CCC4)(C5)N4C[C@H]5F)c3F)cccc2ccc1,,1.2,242.1
206,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cccc4cccc(C#C)c34)c3F)c3n2)CCC1,,5.1,899.6
207,Cc1ccc2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@H]4N(C)CCC4)c3F)cccc2c1,,4906.8,
208,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C[C@H]1Oc1cc(S(F)(=O)=O)ccc1,,1836.7,16666.7
209,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C[C@H]1Oc(cc1)ccc1S(F)(=O)=O,,2746.7,16666.7
210,CN(CC1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)[C@H]1Oc1cc(S(F)(=O)=O)ccc1,,5464.7,16666.7
211,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C[C@H]1NC(c1cc(S(F)(=O)=O)ccc1)=O,,211.5,13506.7
212,Oc1cc2ccccc2c(-c2ncc3c(N4CC(CC5)NC5C4)nc(OCCNC(c(cc4)ccc4S(F)(=O)=O)=O)nc3c2F)c1,,1218.4,
213,Oc1cc2ccccc2c(-c2ncc3c(N4CC(CC5)NC5C4)nc(OCCNC(c4cccc(S(F)(=O)=O)c4)=O)nc3c2F)c1,,7529,
214,CN1[C@H](COc2nc(N3CC(CC4)(C=O)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)CCC1,283.6,,16666.7
215,CN1[C@H](COc2nc(N3CC(CO)(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)CCC1,70.4,,16666.7
216,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@@](CCC3)(C4)N3C[C@H]4F)c2F)c1,1.7,0.9,51
217,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCc(cccc3)c3F)c2F)c1,2977,,
218,Fc1c2c(-c(ncc3c(N4CC(CC5)NC5C4)nc(CCC4(CCC5)N5CCC4)nc33)c3F)cccc2ccc1,,1600,
219,CO[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1,8.1,8.1,2032
220,Cn1ncc([C@H]2CN(CCC3)[C@]3(COc3nc(N4CC(CC5)NC5C4)c(cnc(-c4c5c(Cl)cccc5ccc4)c4F)c4n3)C2)c1,,8.7,1344.9
221,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OC[C@](CCC1)(C2)N1C[C@@H]2c1ccccc1,,15.7,15840.8
222,OCC(CCC1)(C2)N1CC2Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,1126.7,
223,O[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1,,7.1,4272.7
224,O[C@H]1CN(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1,,27,6375.8
225,CO[C@H]1CN(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1,,9.2,3058.3
226,F[C@H]1CN(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1,,25.9,6745.4
227,C[C@@H]1CN(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1,,6.4,2976
228,CC1(C)CN(CCC2)C2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1,,87.7,13718.5
229,FC(Oc(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F)(F)F,,121,11330.3
230,FC(Oc(c(-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F)ccc1)c1Cl)(F)F,,1433.1,
231,COc1cc2cccc(C#C)c2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c1,,19.8,2806.1
232,C#Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cc(O)cc2ccc1F,,0.6,15.2
233,C(C1(CCC2)N2CCC1)Oc1nc2cc(-c3cccc4ccccc34)ncc2c(N2CC(CC3)NC3C2)n1,,387.2,15568.1
234,Fc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,5.9,409
235,Fc(c1n2)c(-c3c4c(Br)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCC1,,1.2,338.6
236,COc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,25,2626.3
237,Oc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,500.3,
238,OCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,16.1,4656.9
239,OCCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,2,2951.1
240,NC(Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1)=O,,314.8,16666.7
241,NCC#Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,79.2,16666.7
242,CCC#Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,82.2,16666.7
243,C#Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@](CCC4)(C5)N4C[C@@H]5F)c3F)cc(O)cc2ccc1,,0.4,0.8
244,C#Cc1c2c(-c(ncc3c(N4CC(CC5)NC5C4)ncnc33)c3F)cc(O)cc2ccc1,,4.2,763
245,Oc(cc1cc2)cc(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)c1c(Cl)c2F,,0.5,23.4
246,Oc(cc(c1c2F)-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@](CCC4)(C5)N4C[C@@H]5F)c3F)cc1ccc2F,,0.6,1
247,FC(Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1)F,,12.6,4310.5
248,FCCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,3.2,1082.8
249,Cc1cc([nH]nc2)c2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c1C,,3.5,7705.6
250,Cc1cc([nH]cc2)c2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c1C,,28.2,7477.7
251,Oc1cc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@](CCC3)(C4)N3C[C@@H]4F)c2F)c2c(Cl)cccc2c1,,0.2,10.3
252,C#Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@](CCC4)(C5)N4C[C@@H]5F)c3F)cc(O)cc2ccc1F,,0.4,0.8
253,CCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@](CCC4)(C5)N4C[C@@H]5F)c3F)cc(O)cc2ccc1F,,0.8,2
254,CCCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,6.1,2428.8
255,FCCCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,8.7,673.4
256,Cc(ccc(O)c1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,13.2,16666.7
257,Fc(c1n2)c(-c3c(cn[nH]4)c4cc4ccccc34)ncc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCC1,,5.1,530.7
258,FC(Oc(ccc1c2cn[nH]1)c2-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F)(F)F,,6.5,1460.4
259,CCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@](CCC4)(C5)N4C[C@@H]5F)c3F)cc(O)cc2ccc1,,0.8,3.9
260,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C[C@H]1OC(NCCOCc(cc1)ccc1O)=O,,107.1,16666.7
261,NCCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,8304.2,
262,NC1(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CCCCC1,,2255.6,
263,CCc(ccc(O)c1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,1.5,7641
264,Fc(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,4698.9,
265,Nc1cccc(F)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,794,
266,Nc(c(Cl)c1)c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c(F)c1Cl,,278,
267,Oc(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,3261.6,
268,CNc(c(F)ccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,1546.3,
269,CCNc(c(F)ccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,4037.9,
270,Nc(c(F)ccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,4492.4,
271,Oc1cccc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c1,,1621.9,
272,Cc(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,1178.7,
273,COc(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,1340.8,
274,Cc(c(-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F)ccc1)c1Cl,,35.9,4706.4
275,Cc1cccc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c1C,,53.8,7058.7
276,Cc1cccc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c1Cl,,16.2,3789.2
277,Fc(c1n2)c(-c3cccc(Cl)c3Cl)ncc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCC1,,35.2,3675
278,[2H]C#Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1,,0.7,104.4
279,C#CCc(ccc(O)c1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,1.6,7401.8
280,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C[C@H]1OC(NCCOC)=O,,99.8,6115.7
281,C#Cc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@](CCC4)(C5)N4C[C@@H]5F)c3F)cccc2ccc1F,,0.9,97.8
282,Oc1cc2cccc(F)c2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@](CCC3)(C4)N3C[C@@H]4F)c2F)c1,,0.7,4.9
283,Oc1cc(Cl)c(C2CC2)c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@](CCC3)(C4)N3C[C@@H]4F)c2F)c1,,0.7,7
284,F[C@@H](C1)[C@H]1c(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,0.1,17.4
285,C[C@H](C1)[C@H]1c(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,279,
286,C[C@H](C1)[C@@H]1c(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,17.2,1733.1
287,C[C@@H](C1)[C@H]1c(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,90.7,8067.4
288,C[C@@H](C1)[C@@H]1c(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,589.5,
290,CC(C)c(c(F)cc(O)c1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,2.1,110.5
291,CC(C)c(c(-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F)cc(O)c1)c1Cl,,1.6,46.5
292,FC(c(c(F)ccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F)(F)F,,13.1,1696
293,FC(c(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F)F,,692.3,
294,Cc(c(F)ccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,620.4,
295,CCc(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,191.5,
296,CN(C)c(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,111.5,8472
297,Fc(c1n2)c(-c3c(C4CC4)cccc3)ncc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCC1,,88.9,6562
298,CC(C)c(c(-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F)ccc1)c1Cl,,8.3,1228.7
299,CC(C)c(c(F)ccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,131.7,5555.6
300,CCC(C)c(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,767.8,
301,CC(C)c(c(C)ccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,35.1,3173.2
302,FC(Oc(c(F)ccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F)F,,43.6,1993.3
303,FC(Oc(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F)F,,357.3,
304,Fc1cccc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c1C1CC1,,29.2,1415.1
305,CC1(CC1)c(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,366.8,
306,CC(C)c(ccnc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,260.4,
307,CC(C)c(nccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,3164.3,
308,CN(C)Cc1ccc(COCCNC(O[C@H]2CN(C)[C@H](COc3nc(N4CC(CC5)NC5C4)c(cnc(-c4c5c(Cl)cccc5ccc4)c4F)c4n3)C2)=O)cc1,,117.4,5555.6
309,CC(C)c(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,204.7,
310,Fc(c1n2)c(-c(cccc3)c3Cl)ncc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCC1,,558.7,
311,COc(c(-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F)ccc1)c1Cl,,135.3,
312,CCc(c(-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F)ccc1)c1Cl,,9,1877.6
